Tienda,Dirección,Ciudad,Estado,latitude,longitude
Av. De Los Maestros,Av. Aguascalientes Sur N° 402,Aguascalientes,Aguascalientes,21.8598943,-102.25912
Aguascalientes Oriente,Av. Aguascalientes Oriente No. 2606,Aguascalientes,Aguascalientes,21.8670803,-102.2530981
Santa Monica,Av. Siglo Xxi No. 3980,Aguascalientes,Aguascalientes,21.922951,-102.262401
Aguascalientes,Av. Independencia # 2351,Aguascalientes,Aguascalientes,21.912758,-102.2971781
Calvillo,Prolongación Independencia N° 901,Calvillo,Aguascalientes,21.8448852,-102.7268007
Rincon De Romos,Morelos N° 406.,Rincon De Romos,Aguascalientes,22.235168,-102.3558773
Puertecito De La Virgen,Av. 16 De Septiembre 101,San Francisco De Los Romo,Aguascalientes,21.9587682,-102.2654291
Tijuana Hipodromo,Agua Caliente # 11999,Tijuana,Baja California Norte,32.4077553,-116.6781628
Macro Plaza,Calle Insurgentes 18015,Tijuana,Baja California Norte,32.5006549,-116.8806918
Tijuana,Blvd. Sanchez Taboada # 4005,Tijuana,Baja California Norte,32.4407207,-117.0604847
Guadalupe Victoria Romo,Tercera N° 101,Mexicali,Baja California Norte,32.6138161,-115.4254065
,Calzada Camino Real S/N,Camino Real,Baja California Sur,24.1196339,-110.3431155
San Jose Del Cabo,Valerio Gonzalez Canseco #137 Club De Golf Fonatur,Los Cabos,Baja California Sur,23.05407359,-109.7021636
Campeche,Av. Maria Lavalle Urbina No. 35,Campeche,Campeche,19.8529267,-90.5299105
,Av Isla De Tris S/N,Ciudad Del Carmen,Campeche,18.6554159,-91.7856293
Escarcega,Av. Justo Sierra Méndez No. 154,Escarcega,Campeche,18.606818,-90.7420029
Cintalapa,Tercera Calle Oriente Oriente N° 154.,Cintalapa,Chiapas,16.5892774,-93.8648556
Ocosingo,Periférico Sur 2,Ocosingo,Chiapas,16.8959577,-92.0973662
Reforma Chiapas,Joaquin Miguel Gutierrez S7N,Reforma,Chiapas,17.8604979,-93.1524224
Del Cerrillo,Av. General Utrilla No. 26,San Cristobal De Las Casas,Chiapas,16.7409109,-92.6369268
Tapachula,Carretera Tapachula-Puerto Madero Km 2.5,Tapachula,Chiapas,14.7547636,-92.3927383
Teopisca,Av. Central Sur Nº 110,Teopisca,Chiapas,16.5327549,-92.470419
,Blvd. Belisario Domínguez No. 4451,Terán,Chiapas,16.7605527,-93.1779007
Tonalá Hielera,Belisario Dominguez No. 15,Tonala,Chiapas,16.0817951,-93.7537341
Cuarta Sur Oriente,"Cuarta Avenida Sur Oriente N° 390, Terán",Tuxtla Gutierrez,Chiapas,16.7492163,-93.1602413
Tuxtla Gutiérrez,Blvd. Belisario Domínguez 1550,Tuxtla Gutierrez,Chiapas,16.7605527,-93.1779007
Cordilleras,Avenida Homero No. 4400,Chihuahua,Chihuahua,28.7150291,-106.0984033
Homero,Av. Homero #200,Chihuahua,Chihuahua,28.7150291,-106.0984033
Chihuahua,Periférico De La Juventud No. 2200,Chihuahua,Chihuahua,28.7017763,-106.131088
Delicias,Av. Tecnologico No. 2,Delicias,Chihuahua,28.206399,-105.4531694
Parral,Av. Tecnologico #31,Hidalgo Del Parral,Chihuahua,26.9320613,-105.6450804
Av. Zaragoza,Blvd. Zaragoza No. 6008,Juarez,Chihuahua,31.5936577,-106.3579722
Cd. Juarez,Av. Ejército Nacional No. 7445,Juarez,Chihuahua,31.6750511,-106.3735581
Cd. Juarez,Av. Ejercito Nacional No. 7445,Juarez,Chihuahua,31.6704234,-106.35865
Madera,Carretera A Chihuahua,Madera,Chihuahua,29.4366882,-107.9720785
Ojinaga,Boulevard Libre Comercio No. 204,Ojinaga,Chihuahua,29.5593353,-104.3963859
Francisco I. Madero,Boulevard Francisco I. Madero No 40,Francisco I Madero,Coahuila,25.7652186,-103.2779472
Las Torres Monclova,"Av. Revolución Mexicana N° 1116, Tierra Y Libertad",Monclova,Coahuila,26.8993901,-101.3953476
Muzquiz,Socorro No. 110,Muzquiz,Coahuila,27.886685,-101.5035881
San Buenaventura,Zaragoza No. 273,San Buenaventura,Coahuila,27.060525,-101.5579899
,Periferico Luis Echeverría Álvarez No. 2545,Satélite Saltillo,Coahuila,25.4555926,-101.0218526
Monclova,Blvd. Pape No. 107,Monclova,Coahuila,26.8769567,-101.4264281
Saltillo,Paseo De La Reforma No. 1690,Saltillo,Coahuila,25.4266829,-100.9776361
Saltillo,Nazario Ortiz Garza #841,Saltillo,Coahuila,25.4472358,-100.972318
Torreon,Boulevard Diagonal Reforma No. 2220,Torreon,Coahuila,25.5355368,-103.4061722
Torreon,Blvd. Diagonal Reforma #3001,Torreon,Coahuila,25.5355984,-103.4061418
Colima Norte,Av. Tecnologico 125,Colima,Colima,19.2573168,-103.7184129
Colima,Pedro A Galvan Norte No. 120,Colima,Colima,19.2425524,-103.7140368
Colima,Av. Felipe Sevilla Del Río 49,Colima,Colima,19.2484815,-103.7067588
Manzanillo,Blvd. Miguel De La Madrid No. 17,Manzanillo,Colima,19.0726919,-104.2801122
Manzanillo,Blvd. Miguel De La Madrid # 1518,Manzanillo,Colima,19.0726919,-104.2801122
,Av. Benito Juarez . 345,Villa De Alvarez,Colima,19.2555165,-103.743476
Plateros,Blvd. Adolfo Lopez Mateos No. 1701,Alvaro Obregon,Distrito Federal,19.3589706,-99.1942376
San Jerónimo,Av. San Jerónimo # 630,Alvaro Obregon,Distrito Federal,19.3294489,-99.2092667
Olivar Del Conde,"Calle 22 N° 107., Olivar Del Conde",Alvaro Obregón,Distrito Federal,19.3737371,-99.2096475
Vasco De Quiroga,"Av. Vasco De Quiroga N° 1504, La Mexicana",Alvaro Obregón,Distrito Federal,19.3833041,-99.2350303
Puente Colorado,"Calzada De Las Aguilas N° 1258, Puente Colorado",Alvaro Obregón,Distrito Federal,19.349362,-99.2247247
Camino Antigo A Toluca,"Av. Vasco De Quiroga N° 1742, El Piru 2A Ampliación",Alvaro Obregón,Distrito Federal,19.3833041,-99.2350303
Prohogar,"Av. Central N° 129, Pro-Hogar",Azcapotzalco,Distrito Federal,19.4751347,-99.1487487
Ahuacatitla,"Ahuacatitla N° 11, Azcapotzalco",Azcapotzalco,Distrito Federal,19.485315,-99.1837342
El Rosario,Av. El Rosario No. 1025,Azcapotzalco,Distrito Federal,19.5019406,-99.204598
Barrio Los Reyes,"Trebol N° 53, San Marcos",Azcapotzalco,Distrito Federal,19.4864529,-99.1817485
Plaza La Raza,"Vallejo N° 294, San Francisco Xocotitla",Azcapotzalco,Distrito Federal,19.4748761,-99.146587
Cosmopolita,"Av. Jardin N° 396, Del Gas",Azcapotzalco,Distrito Federal,19.4700986,-99.1592217
Azcapotzalco,"Nextengo 78, Colonia Santa Cruz Acayucan",Azcapotzalco,Distrito Federal,19.4735835,-99.1918364
El Rosario,Av . El Rosario 1025,Azcapotzalco,Distrito Federal,19.5019406,-99.204598
Felix Cuevas,Av. San Francisco No. 1621,Benito Juarez,Distrito Federal,19.385175,-99.1739657
